name,begin_date,end_date,type,cancelled,disambiguation,setlist,time,edit_note,rel0_target,rel0_type,rel0_target_credit,rel1_target,rel1_type,rel1_target_credit,rel2_target,rel2_type,rel2_target_credit,rel3_target,rel3_type,rel3_target_credit,rel4_target,rel4_type,rel4_target_credit,rel5_target,rel5_type,rel5_target_credit,rel6_target,rel6_type,rel6_target_credit,rel7_target,rel7_type,rel7_target_credit,place_plain,main_performers_plain,supporting_acts_plain,supporting_act_1,supporting_act_2,supporting_act_3,supporting_act_4,supporting_act_5,supporting_act_6
Docents at Columbia WKCR,2023-03-26,2023-03-26,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Columbia WKCR,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,,,,,,,,,,,,,,,,,,,Columbia WKCR,Docents,,,,,,,
Docents at St Vitus (RIP),2023-06-05,2023-06-05,1,,source note: RIP,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,St Vitus (RIP),e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Ringing,492a850e-97eb-306a-a85e-4b6d98527796,,Unrecovery,492a850e-97eb-306a-a85e-4b6d98527796,,Sun Organ,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,St Vitus (RIP),Docents,Ringing; Unrecovery; Sun Organ,Ringing,Unrecovery,Sun Organ,,,
Docents at Berlin,2023-06-09,2023-06-09,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Berlin,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Torino Death Ride,492a850e-97eb-306a-a85e-4b6d98527796,,Dollar Tree,492a850e-97eb-306a-a85e-4b6d98527796,,Karaoke Night,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Berlin,Docents,Torino Death Ride; Dollar Tree; Karaoke Night,Torino Death Ride,Dollar Tree,Karaoke Night,,,
Docents at Heaven Can Wait,2023-07-26,2023-07-26,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Heaven Can Wait,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Sunchoked,492a850e-97eb-306a-a85e-4b6d98527796,,Henry Rozich,492a850e-97eb-306a-a85e-4b6d98527796,,Chic Fads,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Heaven Can Wait,Docents,Sunchoked; Henry Rozich; Chic Fads,Sunchoked,Henry Rozich,Chic Fads,,,
Docents at Khyber Pass,2023-08-08,2023-08-08,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Khyber Pass,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Bunny Tonight,492a850e-97eb-306a-a85e-4b6d98527796,,Victoryland,492a850e-97eb-306a-a85e-4b6d98527796,,Pizza and Cookies,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,Khyber Pass,Docents,Bunny Tonight; Victoryland; Pizza and Cookies,Bunny Tonight,Victoryland,Pizza and Cookies,,,
Docents LP1 Release Show,2023-08-30,2023-08-30,3,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Trans Pecos,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Robber Robber,492a850e-97eb-306a-a85e-4b6d98527796,,Lola Star,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Trans Pecos,Docents,Robber Robber; Lola Star,Robber Robber,Lola Star,,,,
Super Dark Monday,2023-09-04,2023-09-04,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Desperate Annies,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Fine Grain,492a850e-97eb-306a-a85e-4b6d98527796,,Anthill Annihilator,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Desperate Annies,Docents,Fine Grain; Anthill Annihilator,Fine Grain,Anthill Annihilator,,,,
Docents at First Live,2023-09-21,2023-09-21,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,First Live,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Deep Fake,492a850e-97eb-306a-a85e-4b6d98527796,,Miss Teen America,492a850e-97eb-306a-a85e-4b6d98527796,,Opera,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,First Live,Docents,Deep Fake; Miss Teen America; Opera,Deep Fake,Miss Teen America,Opera,,,
Docents at The Broadway,2023-10-21,2023-10-21,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,The Broadway,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Programmique,492a850e-97eb-306a-a85e-4b6d98527796,,Forty Feet Tall,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,The Broadway,Docents,Programmique; Forty Feet Tall,Programmique,Forty Feet Tall,,,,
Docents at Gold Sounds,2024-01-12,2024-01-12,1,,,,,Seeded from Docents performance list supplied by editor; please verify place/artist matches before submitting.,Gold Sounds,e2c6f697-07dc-38b1-be0b-83d740165532,,Docents,936c7c95-3156-3889-a062-8a0cd57f8946,,Mariah Houston Villagerrr,492a850e-97eb-306a-a85e-4b6d98527796,,Bugcatcher,492a850e-97eb-306a-a85e-4b6d98527796,,,,,,,,,,,,,,Gold Sounds,Docents,Mariah Houston Villagerrr; Bugcatcher,Mariah Houston Villagerrr,Bugcatcher,,,,
